PartitionKey,RowKey,Orientation,BeliefName,Belief Description
Belief,99,Positive,Persistence leads to achievement. Belief in the power of determination and tenacity.,{{Description}}
Belief,100,Positive,Peace starts within me. Belief in personal responsibility for cultivating inner peace.,{{Description}}
Belief,101,Negative,I am not capable of handling stress. Belief in personal inability to cope with stress.,{{Description}}
Belief,102,Negative,Others will take advantage of me if I let them. Belief in inevitable exploitation by others.,{{Description}}
Belief,103,Negative,I'm unattractive. Belief in personal physical unattractiveness.,{{Description}}
Belief,104,Negative,I'm useless. Belief in personal lack of worth or utility.,{{Description}}
Belief,105,Negative,I'm uninteresting. Belief in personal dullness or lack of fascinating qualities.,{{Description}}
Belief,106,Negative,Everyone else has their life together but me. Belief in personal failure compared to perceived success of others.,{{Description}}
Belief,107,Negative,I always say the wrong thing. Belief in personal inability to communicate effectively.,{{Description}}
Belief,108,Negative,I can't do anything right. Belief in personal incompetence.,{{Description}}
Belief,109,Negative,Nothing I do matters. Belief in the futility of personal actions.,{{Description}}
Belief,110,Negative,"If I express my feelings, I will be rejected. Belief in the risk of rejection linked to emotional expression.",{{Description}}
Belief,111,Negative,My problems are unsolvable. Belief in the hopelessness of personal issues.,{{Description}}
Belief,112,Negative,I'm destined to be miserable. Belief in the inevitability of personal misery.,{{Description}}
Belief,113,Negative,I must keep people at a distance to stay safe. Belief in the necessity of emotional isolation for protection.,{{Description}}
Belief,114,Negative,I'm not important. Belief in personal insignificance.,{{Description}}
Belief,115,Negative,I must always be in control. Belief in the absolute necessity of control.,{{Description}}
Belief,116,Negative,I'm fundamentally flawed. Belief in inherent personal defects or deficiencies.,{{Description}}
Belief,117,Negative,I'll never be able to change. Belief in the impossibility of personal growth or change.,{{Description}}
Belief,118,Negative,I'm destined to repeat my mistakes. Belief in the inevitability of repeating past mistakes.,{{Description}}
Belief,119,Negative,I don't have what it takes to be successful. Belief in personal inadequacy for success.,{{Description}}
Belief,120,Negative,"If I love, I will get hurt. Belief in the inherent risk of emotional pain in love.",{{Description}}
,,,,{{Description}}
